CityCde|CountyStateCde|CityNameTxt
"2374"|"05"|"Tallahassee"
"2375"|"13"|"Tazewell"
"2378"|"90"|"Telford"
"2380"|"62"|"Tellico Plains"
"2383"|"61"|"Ten Mile"
"2384"|"22"|"Tennessee City"
"2385"|"42"|"Tennessee Ridge"
"2387"|"94"|"Thompson's Station"
"2388"|"29"|"Thorn Hill"
"2382"|"50"|"Three Oaks"
"2392"|"57"|"Three Way"
"2386"|"33"|"Tiftona"
"2389"|"23"|"Tigrett"
"2391"|"84"|"Tipton"
"2390"|"48"|"Tiptonville"
"2400"|"35"|"Toone"
"2410"|"05"|"Townsend"
"2420"|"31"|"Tracy City"
"2423"|"46"|"Trade"
"2426"|"34"|"Treadway"
"2430"|"27"|"Trenton"
"2440"|"09"|"Trezevant"
"2450"|"23"|"Trimble"
"2450"|"66"|"Trimble"
"2455"|"94"|"Triune"
"2460"|"66"|"Troy"
"2470"|"16"|"Tullahoma"
"2470"|"26"|"Tullahoma"
"2472"|"70"|"Turtletown"
"2473"|"30"|"Tusculum"
"2475"|"33"|"Tyner"
"2477"|"86"|"Unicoi"
"2480"|"66"|"Union City"
"2487"|"02"|"Unionville"
"9999"|"01"|"UNKNOWN"
"9999"|"02"|"UNKNOWN"
"9999"|"03"|"UNKNOWN"
"9999"|"04"|"UNKNOWN"
"9999"|"05"|"UNKNOWN"
"9999"|"06"|"UNKNOWN"
"9999"|"07"|"UNKNOWN"
"9999"|"08"|"UNKNOWN"
"9999"|"09"|"UNKNOWN"
"9999"|"10"|"UNKNOWN"
"9999"|"11"|"UNKNOWN"
"9999"|"12"|"UNKNOWN"
"9999"|"13"|"UNKNOWN"
"9999"|"14"|"UNKNOWN"
"9999"|"15"|"UNKNOWN"
"9999"|"16"|"UNKNOWN"
"9999"|"17"|"UNKNOWN"
"9999"|"18"|"UNKNOWN"
"9999"|"19"|"UNKNOWN"
"9999"|"20"|"UNKNOWN"
"9999"|"21"|"UNKNOWN"
"9999"|"22"|"UNKNOWN"
"9999"|"23"|"UNKNOWN"
"9999"|"24"|"UNKNOWN"
"9999"|"25"|"UNKNOWN"
"9999"|"26"|"UNKNOWN"
"9999"|"27"|"UNKNOWN"
"9999"|"28"|"UNKNOWN"
"9999"|"29"|"UNKNOWN"
"9999"|"30"|"UNKNOWN"
"9999"|"31"|"UNKNOWN"
"9999"|"32"|"UNKNOWN"
"9999"|"33"|"UNKNOWN"
"9999"|"34"|"UNKNOWN"
"9999"|"35"|"UNKNOWN"
"9999"|"36"|"UNKNOWN"
"9999"|"37"|"UNKNOWN"
"9999"|"38"|"UNKNOWN"
"9999"|"39"|"UNKNOWN"
"9999"|"40"|"UNKNOWN"
"9999"|"41"|"UNKNOWN"
"9999"|"42"|"UNKNOWN"
"9999"|"43"|"UNKNOWN"
"9999"|"44"|"UNKNOWN"
"9999"|"45"|"UNKNOWN"
"9999"|"46"|"UNKNOWN"
"9999"|"47"|"UNKNOWN"
"9999"|"48"|"UNKNOWN"
"9999"|"49"|"UNKNOWN"
"9999"|"50"|"UNKNOWN"
"9999"|"51"|"UNKNOWN"
"9999"|"52"|"UNKNOWN"
"9999"|"53"|"UNKNOWN"
"9999"|"54"|"UNKNOWN"
"9999"|"55"|"UNKNOWN"
"9999"|"56"|"UNKNOWN"
"9999"|"57"|"UNKNOWN"
"9999"|"58"|"UNKNOWN"
"9999"|"59"|"UNKNOWN"
"9999"|"60"|"UNKNOWN"
"9999"|"61"|"UNKNOWN"
"9999"|"62"|"UNKNOWN"
"9999"|"63"|"UNKNOWN"
"9999"|"64"|"UNKNOWN"
"9999"|"65"|"UNKNOWN"
"9999"|"66"|"UNKNOWN"
"9999"|"67"|"UNKNOWN"
"9999"|"68"|"UNKNOWN"
"9999"|"69"|"UNKNOWN"
"9999"|"70"|"UNKNOWN"
"9999"|"71"|"UNKNOWN"
"9999"|"72"|"UNKNOWN"
"9999"|"73"|"UNKNOWN"
"9999"|"74"|"UNKNOWN"
"9999"|"75"|"UNKNOWN"
"9999"|"76"|"UNKNOWN"
"9999"|"77"|"UNKNOWN"
"9999"|"78"|"UNKNOWN"
"9999"|"79"|"UNKNOWN"
"9999"|"80"|"UNKNOWN"
"9999"|"81"|"UNKNOWN"
"9999"|"82"|"UNKNOWN"
"9999"|"83"|"UNKNOWN"
"9999"|"84"|"UNKNOWN"
"9999"|"85"|"UNKNOWN"
"9999"|"86"|"UNKNOWN"
"9999"|"87"|"UNKNOWN"
"9999"|"88"|"UNKNOWN"
"9999"|"89"|"UNKNOWN"
"9999"|"90"|"UNKNOWN"
"9999"|"91"|"UNKNOWN"
"9999"|"92"|"UNKNOWN"
"9999"|"93"|"UNKNOWN"
"9999"|"94"|"UNKNOWN"
"9999"|"95"|"UNKNOWN"
"2488"|"09"|"Vale"
"2490"|"22"|"Vanleer"
"2495"|"35"|"Vildo"
"2500"|"89"|"Viola"
"2502"|"62"|"Vonore"
"2501"|"33"|"Walden"
"2507"|"28"|"Wales"
"2503"|"05"|"Walland"
"2506"|"93"|"Walling"
"2504"|"24"|"Warren"
"2505"|"65"|"Wartburg"
"2510"|"02"|"Wartrace"
"2515"|"29"|"Washburn"
"2516"|"90"|"Washington College"
"2517"|"10"|"Watauga"
"2520"|"95"|"Watertown"
"2525"|"72"|"Watts Bar Dam"
"2527"|"33"|"Wauhatchie"
"2530"|"43"|"Waverly"
"2540"|"91"|"Waynesboro"
"2543"|"35"|"Western State Hosp"
"2545"|"83"|"Westmoreland"
"2547"|"50"|"Westpoint"
"2548"|"09"|"Westport"
"2550"|"22"|"White Bluff"
"2565"|"74"|"White House"
"2565"|"83"|"White House"
"2570"|"45"|"White Pine"
"2560"|"79"|"Whitehaven"
"2576"|"19"|"Whites Creek"
"2575"|"32"|"Whitesburg"
"2577"|"58"|"Whiteside"
"2580"|"35"|"Whiteville"
"2585"|"44"|"Whitleyville"
"2586"|"40"|"Whitlock"
"2590"|"58"|"Whitwell"
"2587"|"25"|"Wilder"
"2592"|"39"|"Wildersville"
"2595"|"60"|"Williamsport"
"2597"|"24"|"Williston"
"2600"|"26"|"Winchester"
"2603"|"76"|"Winfield"
"2605"|"76"|"Winona"
"2610"|"08"|"Woodbury"
"2613"|"66"|"Woodland Mills"
"2612"|"63"|"Woodlawn"
"2625"|"48"|"Wynnburg"
"2700"|"27"|"Yorkville"
"2704"|"09"|"Yuma"
